Frame,gripper_x_act,gripper_z_act
0,0.0,-0.0
1,-0.00412144660949707,-0.003894031047821045
2,-0.003869855403900146,-0.008207345008850097
3,-0.003268647193908691,-0.010240030288696288
4,-0.0036591410636901854,-0.010108423233032226
5,-0.0042522668838500975,-0.009122300148010253
6,-0.004310417175292969,-0.008556962013244629
7,-0.004552674293518066,-0.006220293045043945
8,-0.004319179058074951,-0.005462908744812011
9,-0.003993344306945801,-0.005642080307006836
10,-0.004197943210601807,-0.005608177185058593
11,-0.004306018352508545,-0.006306123733520508
12,-0.004181313514709473,-0.0063803672790527345
13,-0.004073703289031982,-0.006243395805358887
14,-0.00444338321685791,-0.00548865795135498
15,-0.004652166366577148,-0.005610108375549316
16,-0.004700231552124024,-0.005503463745117188
17,-0.005077743530273437,-0.005596339702606201
18,-0.005183422565460205,-0.005506932735443115
19,-0.004955470561981201,-0.005524992942810059
20,-0.004777765274047851,-0.005286383628845215
21,-0.004599130153656005,-0.005136966705322266
22,-0.004792392253875732,-0.005038261413574219
23,-0.004720044136047363,-0.004960405826568604
24,-0.006100916862487793,-0.0033598065376281737
25,-0.00492929220199585,-0.003161466121673584
26,-0.005923068523406982,-0.0008795857429504395
27,-0.008256053924560547,0.008863735198974609
28,-0.00832693576812744,0.010557496547698974
29,-0.010774075984954834,0.006984329223632812
30,-0.010621976852416991,0.0034511804580688475
31,-0.00957866907119751,0.0001470208168029785
32,-0.010240709781646729,0.0007246613502502441
33,-0.010441339015960694,0.0017413258552551269
