frame,gripper_x_act,gripper_y_act,gripper_z_act
0,-0.1486697942018509,0.2676923871040344,0.4655532240867615
1,-0.1486697942018509,0.2676923871040344,0.4655532240867615
2,-0.1486697942018509,0.2676923871040344,0.4655532240867615
3,-0.1486697942018509,0.2676923871040344,0.4613778591156006
4,-0.1486697942018509,0.2676923871040344,0.4613778591156006
5,-0.1486697942018509,0.2738463282585144,0.4613778591156006
6,-0.1486697942018509,0.2707692682743072,0.4572024941444397
7,-0.1486697942018509,0.2738463282585144,0.4572024941444397
8,-0.1517996937036514,0.2769232094287872,0.4572024941444397
9,-0.1486697942018509,0.2738463282585144,0.4530271291732788
10,-0.1517996937036514,0.2738463282585144,0.4530271291732788
11,-0.1486697942018509,0.28000009059906,0.4530271291732788
12,-0.1517996937036514,0.2738463282585144,0.4530271291732788
13,-0.1486697942018509,0.2738463282585144,0.4530271291732788
14,-0.1486697942018509,0.2738463282585144,0.4488517642021179
15,-0.1486697942018509,0.2738463282585144,0.4488517642021179
16,-0.1486697942018509,0.2707692682743072,0.4488517642021179
17,-0.1486697942018509,0.28000009059906,0.444676399230957
18,-0.1486697942018509,0.2707692682743072,0.444676399230957
19,-0.1486697942018509,0.28000009059906,0.444676399230957
20,-0.1486697942018509,0.2676923871040344,0.4488517642021179
21,-0.1486697942018509,0.2707692682743072,0.4488517642021179
22,-0.1455399096012115,0.2707692682743072,0.4488517642021179
23,-0.1455399096012115,0.2707692682743072,0.4530271291732788
24,-0.1455399096012115,0.2738463282585144,0.4572024941444397
25,-0.1455399096012115,0.2615386247634887,0.4572024941444397
26,-0.1455399096012115,0.2615386247634887,0.4613778591156006
27,-0.142410010099411,0.2584617435932159,0.4655532240867615
28,-0.142410010099411,0.2707692682743072,0.4739039540290832
29,-0.142410010099411,0.2738463282585144,0.482254683971405
30,-0.142410010099411,0.2707692682743072,0.4906054139137268
31,-0.142410010099411,0.2707692682743072,0.5031315088272095
32,-0.142410010099411,0.2676923871040344,0.5156576037406921
33,-0.142410010099411,0.2676923871040344,0.5240083336830139
34,-0.142410010099411,0.2615386247634887,0.5365344285964966
35,-0.142410010099411,0.2646155059337616,0.5532358884811401
36,-0.1392801254987716,0.2584617435932159,0.5657619833946228
37,-0.1392801254987716,0.2553846538066864,0.5782880783081055
38,-0.1361502408981323,0.2676923871040344,0.5908141732215881
39,-0.1330203413963318,0.2676923871040344,0.6033402681350708
40,-0.1298904567956924,0.2646155059337616,0.6158663630485535
41,-0.1267605572938919,0.2553846538066864,0.6283924579620361
42,-0.1205007806420326,0.2646155059337616,0.6367431879043579
43,-0.1173708885908126,0.2584617435932159,0.6492692828178406
44,-0.1173708885908126,0.2492308914661407,0.6576200127601624
45,-0.1142410039901733,0.2553846538066864,0.6659707427024841
46,-0.1111111119389534,0.2523077726364136,0.6784968972206116
47,-0.1048513278365135,0.2523077726364136,0.6826722621917725
48,-0.1017214432358741,0.2553846538066864,0.6910229921340942
49,-0.0985915511846542,0.2615386247634887,0.699373722076416
50,-0.0923317670822143,0.2584617435932159,0.7035490870475769
51,-0.0923317670822143,0.2492308914661407,0.7118998169898987
52,-0.086071990430355,0.2523077726364136,0.7160751819610596
53,-0.086071990430355,0.2523077726364136,0.7202505469322205
54,-0.0829420983791351,0.2553846538066864,0.7286012768745422
55,-0.0829420983791351,0.2553846538066864,0.7327766418457031
