Frame,L0_x,L0_y,L0_z,L1_x,L1_y,L1_z,L2_x,L2_y,L2_z,L3_x,L3_y,L3_z,L4_x,L4_y,L4_z,L5_x,L5_y,L5_z,L6_x,L6_y,L6_z,L7_x,L7_y,L7_z,L8_x,L8_y,L8_z,L9_x,L9_y,L9_z,L10_x,L10_y,L10_z,L11_x,L11_y,L11_z,L12_x,L12_y,L12_z,L13_x,L13_y,L13_z,L14_x,L14_y,L14_z,L15_x,L15_y,L15_z,L16_x,L16_y,L16_z,L17_x,L17_y,L17_z,L18_x,L18_y,L18_z,L19_x,L19_y,L19_z,L20_x,L20_y,L20_z
0,0.8834462761878967,1.009112000465393,3.1980133030629077e-07,0.8264875411987305,0.9555147886276245,-0.03225438669323921,0.7807251214981079,0.8664496541023254,-0.04711592197418213,0.752899706363678,0.7844195365905762,-0.05928657948970795,0.7323670983314514,0.7075352668762207,-0.07131396979093552,0.8310343623161316,0.6827424168586731,-0.022736113518476486,0.8225389122962952,0.5733399987220764,-0.042507704347372055,0.8189719915390015,0.5021148324012756,-0.061650145798921585,0.8175501227378845,0.43374037742614746,-0.0770951360464096,0.8806456327438354,0.6705667972564697,-0.025661185383796692,0.882256805896759,0.5345863103866577,-0.03990939259529114,0.8843293786048889,0.4539238214492798,-0.05666515231132507,0.8848838806152344,0.37861400842666626,-0.07126390188932419,0.925410270690918,0.694525957107544,-0.03353859484195709,0.9374470710754395,0.5672281384468079,-0.05746475234627724,0.9482221007347107,0.4874507188796997,-0.07453788816928864,0.9536144137382507,0.4144846498966217,-0.08727101236581802,0.964995801448822,0.7477597594261169,-0.044033944606781006,0.9936511516571045,0.6579128503799438,-0.07071781903505325,1.0211288928985596,0.6152710318565369,-0.08094172924757004,1.0418065786361694,0.5780552625656128,-0.08752085268497467
1,0.8908233046531677,1.0111945867538452,4.1375119508302305e-07,0.8304907083511353,0.9642416834831238,-0.031321536749601364,0.7837836742401123,0.8761599063873291,-0.04756709560751915,0.7554426193237305,0.79095458984375,-0.06091182678937912,0.7340602874755859,0.7133268713951111,-0.07387042790651321,0.8331776261329651,0.6915962100028992,-0.023986060172319412,0.8217659592628479,0.5727722644805908,-0.04463554173707962,0.8172410130500793,0.49684417247772217,-0.06394187361001968,0.8174299597740173,0.42664089798927307,-0.07926956564188004,0.8818070888519287,0.6738414168357849,-0.026024209335446358,0.8837754130363464,0.5360391139984131,-0.04070856422185898,0.8861076831817627,0.4491347372531891,-0.0574624240398407,0.888634443283081,0.3710227310657501,-0.0713583379983902,0.9263496398925781,0.6951900720596313,-0.03250705450773239,0.9369255304336548,0.5686952471733093,-0.05209955945611,0.9469308853149414,0.4878523349761963,-0.06831037253141403,0.9536905288696289,0.41488951444625854,-0.08101613074541092,0.9656121134757996,0.7468131184577942,-0.04176606982946396,0.9899994730949402,0.6691780090332031,-0.0634813904762268,1.0107632875442505,0.6323761343955994,-0.072771817445755,1.028121829032898,0.5996705293655396,-0.07879476994276047
2,0.8898032307624817,1.0083277225494385,4.2364436581010523e-07,0.8296812772750854,0.9578899145126343,-0.03015308454632759,0.7837926745414734,0.872019350528717,-0.045967716723680496,0.7553116083145142,0.7899035215377808,-0.059167563915252686,0.7358621954917908,0.7129408121109009,-0.07182733714580536,0.831896185874939,0.6894435882568359,-0.021995747461915016,0.8220060467720032,0.5697396397590637,-0.04096313938498497,0.8173711895942688,0.49446919560432434,-0.059060901403427124,0.8168333768844604,0.4255915582180023,-0.07353044301271439,0.8813431859016418,0.6738556623458862,-0.024694308638572693,0.883776068687439,0.5368468761444092,-0.03833264485001564,0.886422336101532,0.44966980814933777,-0.054710086435079575,0.8891745805740356,0.3717747628688812,-0.06849988549947739,0.926365315914154,0.6946789622306824,-0.031797584146261215,0.9366870522499084,0.5670788288116455,-0.05143774300813675,0.9469146728515625,0.486271470785141,-0.06812060624361038,0.9537636637687683,0.41412222385406494,-0.08117865771055222,0.9666223526000977,0.7442380785942078,-0.0414806492626667,0.992691695690155,0.662970781326294,-0.06441306322813034,1.0164059400558472,0.6254967451095581,-0.07443931698799133,1.036536455154419,0.5931483507156372,-0.080759197473526
3,0.8859208822250366,1.0069775581359863,4.4377981112120324e-07,0.8278065323829651,0.9583888649940491,-0.02858886495232582,0.7827228903770447,0.8694406151771545,-0.04332564398646355,0.7538580298423767,0.7895950078964233,-0.055936962366104126,0.7351966500282288,0.711920976638794,-0.06824962794780731,0.8306086659431458,0.6877121925354004,-0.02223268710076809,0.8212491273880005,0.5716222524642944,-0.041310254484415054,0.8176354765892029,0.4958999752998352,-0.05899334326386452,0.8186132907867432,0.42652013897895813,-0.07317912578582764,0.8791788220405579,0.6726414561271667,-0.02588413469493389,0.882681131362915,0.5379510521888733,-0.040304072201251984,0.8855278491973877,0.45143944025039673,-0.05681758001446724,0.8888670206069946,0.371638685464859,-0.07058035582304001,0.9245026707649231,0.6930934190750122,-0.03381113335490227,0.9356185793876648,0.5661329627037048,-0.05617627874016762,0.9457038044929504,0.48569899797439575,-0.07540208101272583,0.9530603885650635,0.41198182106018066,-0.08980102092027664,0.965232789516449,0.7421243786811829,-0.043955471366643906,1.0010181665420532,0.6589622497558594,-0.07090848684310913,1.0338304042816162,0.6224303841590881,-0.08435410261154175,1.0621062517166138,0.5897703766822815,-0.09265948832035065
4,0.8887904286384583,1.0075069665908813,4.3372799041208054e-07,0.8285388946533203,0.9586880207061768,-0.028885114938020706,0.7836098670959473,0.8705514669418335,-0.04310840740799904,0.7546135187149048,0.788703203201294,-0.05498263239860535,0.734133243560791,0.714435338973999,-0.06656026095151901,0.8307833075523376,0.6889960169792175,-0.01984766311943531,0.82061767578125,0.5704293251037598,-0.038369596004486084,0.8167561888694763,0.49523866176605225,-0.0559488870203495,0.8165913820266724,0.4271673560142517,-0.0698750913143158,0.8800275921821594,0.6734877824783325,-0.02271239273250103,0.8833454251289368,0.5371476411819458,-0.03590996190905571,0.8856393694877625,0.4506849944591522,-0.051905397325754166,0.8877049684524536,0.3726191818714142,-0.06508788466453552,0.9248619079589844,0.6944586634635925,-0.029939275234937668,0.9354624152183533,0.5678071975708008,-0.049586307257413864,0.9451103210449219,0.4867817759513855,-0.06701063364744186,0.9517384171485901,0.41227206587791443,-0.08031441271305084,0.9643559455871582,0.7445600032806396,-0.039584606885910034,0.9936159253120422,0.6659576892852783,-0.06287462264299393,1.0195232629776,0.6291376948356628,-0.07370723783969879,1.0416357517242432,0.5952319502830505,-0.08042457699775696
5,0.8868301510810852,1.0036861896514893,4.386497494124342e-07,0.8278928399085999,0.9552741050720215,-0.028076617047190666,0.7831770181655884,0.8680071830749512,-0.04264276847243309,0.7537663578987122,0.7895907759666443,-0.055078811943531036,0.733776330947876,0.7144964933395386,-0.06746729463338852,0.8297224044799805,0.6890510320663452,-0.023065386340022087,0.8195889592170715,0.5720857977867126,-0.04211268201470375,0.8157277703285217,0.49679261445999146,-0.05978122353553772,0.8164886236190796,0.42752423882484436,-0.07403402775526047,0.8785390257835388,0.6732488870620728,-0.02685622312128544,0.8821269273757935,0.5376985669136047,-0.04140571877360344,0.8852210640907288,0.4514247179031372,-0.058404624462127686,0.8887593746185303,0.3716276288032532,-0.07276588678359985,0.9234684705734253,0.6931672692298889,-0.03474302589893341,0.9351968169212341,0.5658643841743469,-0.05740203708410263,0.9456505179405212,0.4851294159889221,-0.07764356583356857,0.9533435106277466,0.41112470626831055,-0.09292377531528473,0.9635770916938782,0.7419840097427368,-0.04465474933385849,0.9994408488273621,0.6576984524726868,-0.07199570536613464,1.032534122467041,0.6196052432060242,-0.0861712396144867,1.0609824657440186,0.5847461223602295,-0.09522726386785507
6,0.8876778483390808,1.0041162967681885,4.390226706618705e-07,0.8269579410552979,0.9542633295059204,-0.027316641062498093,0.7817172408103943,0.8664135932922363,-0.040622930973768234,0.7525894045829773,0.7871080636978149,-0.05172982066869736,0.7323322892189026,0.7145244479179382,-0.06268634647130966,0.8293539881706238,0.688576877117157,-0.020658792927861214,0.8192214965820312,0.5706069469451904,-0.037646010518074036,0.8155961632728577,0.49635985493659973,-0.05371033772826195,0.8156558275222778,0.42868009209632874,-0.06680960953235626,0.8790411949157715,0.6720548272132874,-0.024075070396065712,0.8821032047271729,0.535900354385376,-0.03710436075925827,0.884377121925354,0.4495174288749695,-0.0531434565782547,0.886398196220398,0.3707476258277893,-0.06668250262737274,0.9242953658103943,0.6913627982139587,-0.03156151622533798,0.936249315738678,0.5659713745117188,-0.05305437743663788,0.9461168646812439,0.48566949367523193,-0.07293142378330231,0.9530025720596313,0.4113519489765167,-0.08779530972242355,0.9648873805999756,0.7380477786064148,-0.0409490205347538,1.0010513067245483,0.653734564781189,-0.06709505617618561,1.0334770679473877,0.6156802177429199,-0.08080507814884186,1.060939073562622,0.580241858959198,-0.08949390798807144
7,0.8884267807006836,1.003648042678833,4.466749317089125e-07,0.8274272680282593,0.9542917013168335,-0.029189487919211388,0.7818307280540466,0.8682733774185181,-0.04357840493321419,0.7530968189239502,0.7891157865524292,-0.05551386997103691,0.7325959205627441,0.714907705783844,-0.06706669926643372,0.8305463194847107,0.6892169713973999,-0.020845720544457436,0.8201749324798584,0.5705827474594116,-0.0388127863407135,0.8157218098640442,0.496093213558197,-0.055555086582899094,0.8149369359016418,0.42841681838035583,-0.06890567392110825,0.8792837262153625,0.6727739572525024,-0.02341962605714798,0.8828997611999512,0.5354940891265869,-0.03672492504119873,0.8855598568916321,0.44855526089668274,-0.05239822342991829,0.8884558081626892,0.3707043528556824,-0.06534920632839203,0.9236707091331482,0.6921319365501404,-0.030360456556081772,0.9350823760032654,0.5665177702903748,-0.050057508051395416,0.945145845413208,0.48517149686813354,-0.06718321889638901,0.9526362419128418,0.41031697392463684,-0.08025728911161423,0.9634588360786438,0.738895833492279,-0.03970316797494888,0.9924954175949097,0.6574568748474121,-0.06230277195572853,1.0187569856643677,0.61724454164505,-0.07278405129909515,1.04155695438385,0.5799345374107361,-0.07948186993598938
8,0.8865397572517395,1.004320740699768,4.465221081773052e-07,0.8264127373695374,0.9572504162788391,-0.0285743810236454,0.7817656397819519,0.8711873888969421,-0.04305596277117729,0.7538338899612427,0.7919524312019348,-0.05546250194311142,0.733383297920227,0.7167453169822693,-0.06769772619009018,0.8295333385467529,0.6896178126335144,-0.022018086165189743,0.8193244338035583,0.5730091333389282,-0.04067230224609375,0.8149165511131287,0.49763810634613037,-0.05813431367278099,0.8148768544197083,0.4281405806541443,-0.0721656009554863,0.8786909580230713,0.6720955967903137,-0.025537142530083656,0.8825486302375793,0.5361363887786865,-0.03941765055060387,0.8857118487358093,0.44886353611946106,-0.0558541901409626,0.889477550983429,0.3698139488697052,-0.06964923441410065,0.9240827560424805,0.690396785736084,-0.033287033438682556,0.9350327849388123,0.564098596572876,-0.05502999201416969,0.9447754621505737,0.4836539030075073,-0.07435105741024017,0.9521521329879761,0.41126057505607605,-0.08887331932783127,0.9647337794303894,0.7371675968170166,-0.0432785265147686,0.9986931085586548,0.6540484428405762,-0.06953809410333633,1.029587984085083,0.6188501119613647,-0.0825830027461052,1.0565053224563599,0.588609516620636,-0.09066756814718246
9,0.8880189061164856,1.0073412656784058,4.3281673356432293e-07,0.8279974460601807,0.9620504379272461,-0.029000310227274895,0.782732367515564,0.8728815317153931,-0.04311878979206085,0.754629909992218,0.7904747128486633,-0.05479534715414047,0.7327263951301575,0.7151817083358765,-0.0661618635058403,0.8303962349891663,0.689752459526062,-0.02072211727499962,0.8198598623275757,0.5717633962631226,-0.03847968950867653,0.8152813911437988,0.4969724416732788,-0.055211544036865234,0.8145974278450012,0.4290778636932373,-0.06873622536659241,0.8794077038764954,0.6728590726852417,-0.023535050451755524,0.883055567741394,0.5354586839675903,-0.03678559884428978,0.8858063220977783,0.44915392994880676,-0.052497006952762604,0.8886184692382812,0.37224113941192627,-0.06560467183589935,0.9244269728660583,0.6923309564590454,-0.030669571831822395,0.9360634684562683,0.5663508176803589,-0.05094658210873604,0.9459853768348694,0.4858097434043884,-0.06863948702812195,0.9531516432762146,0.4118363857269287,-0.08207037299871445,0.9645413756370544,0.7402189373970032,-0.04012785479426384,0.9954676032066345,0.6557716131210327,-0.06384319812059402,1.0234644412994385,0.6164016723632812,-0.07514726370573044,1.0472354888916016,0.5804048776626587,-0.08234093338251114
