sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0,0.0,0.0,1.0,3.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0,0.0,0.0,1.0,3.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0,0.0,0.0,1.0,4.0,0.0,0.0
0,0,0.0,0.0,1.0,0.0,4.0,0,3.0,1.0,0.0,0,0.0,0.0,1.0,4.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,4.0,0,3.0,1.0,1.0,0,0.0,0.0,1.0,5.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,5.0,0,3.0,1.0,0.0,0,1.0,0.0,1.0,6.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,5.0,0,4.0,2.0,1.0,0,1.0,1.0,2.0,6.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,5.0,0,4.0,1.0,1.0,0,1.0,3.0,2.0,6.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,6.0,0,4.0,2.0,0.0,0,1.0,4.0,3.0,6.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,5.0,0,5.0,2.0,0.0,0,2.0,6.0,3.0,7.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,6.0,0,5.0,2.0,0.0,0,2.0,7.0,4.0,8.0,0.0,0.0
0,0.0,0.0,0,1.0,0.0,6.0,0,6.0,2.0,0.0,0,3.0,10.0,4.0,8.0,0.0,0.0
0,0.0,0.0,0,1.0,0.0,6.0,0,6.0,2.0,0.0,0,3.0,12.0,5.0,9.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,7.0,0,6.0,2.0,0.0,0,4.0,17.0,6.0,9.0,0.0,0.0
0,0.0,0.0,0,1.0,0.0,7.0,0,6.0,2.0,0,0,5.0,22.0,6.0,9.0,0.0,0.0
0,0.0,0.0,0,1.0,0.0,7.0,0,7.0,2.0,0,0,5.0,25.0,6.0,9.0,0.0,0.0
0,0.0,0.0,0,1.0,0,7.0,0,7.0,2.0,0,0,5.0,29.0,6.0,10.0,0.0,0.0
0,0.0,0.0,0,0.0,0.0,8.0,0,8.0,2.0,0,0,6.0,33.0,6.0,10.0,0.0,0.0
0,0.0,0.0,0,1.0,0,8.0,0,8.0,2.0,0,0,6.0,37.0,6.0,10.0,0.0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,40.0,7.0,10.0,0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,6.0,45.0,7.0,10.0,0.0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,9.0,2.0,0,0,7.0,47.0,7.0,10.0,0.0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,51.0,8.0,10.0,0.0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,56.0,8.0,11.0,0.0,1.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,61.0,8.0,11.0,0,0.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,65.0,8.0,11.0,0,1.0
0,1.0,0.0,0,1.0,0,9.0,0,9.0,2.0,0,0,7.0,68.0,9.0,11.0,0.0,1.0
0,1.0,0.0,0,1.0,0,9.0,0,9.0,2.0,0,0,7.0,71.0,9.0,11.0,0,1.0
0,0.0,0.0,0,1.0,0,9.0,0,8.0,2.0,0,0,7.0,75.0,10.0,11.0,0,1.0
0,1.0,0.0,0,0.0,0,9.0,0,9.0,3.0,0,0.0,7.0,78.0,10.0,11.0,0,1.0
0,0.0,0.0,0,1.0,0,10.0,0,9.0,3.0,0,0.0,8.0,82.0,11.0,11.0,0,1.0
0,1.0,0.0,0,0.0,0,10.0,0,9.0,3.0,0,0.0,8.0,85.0,11.0,11.0,0,0.0
0,1.0,0.0,0,1.0,0,10.0,0,9.0,3.0,0,0.0,8.0,86.0,11.0,11.0,0.0,1.0
0,1.0,0.0,0,0.0,0,10.0,0,9.0,3.0,0,0.0,8.0,88.0,11.0,11.0,0,1.0
0,1.0,0.0,0,0.0,0,10.0,0,9.0,3.0,0,0.0,8.0,89.0,12.0,12.0,0,1.0
0,1.0,0.0,0,0.0,0,10.0,0,9.0,4.0,0,0.0,8.0,90.0,12.0,11.0,0.0,1.0
0,1.0,0.0,0,0.0,0,11.0,0,8.0,4.0,0,0.0,8.0,92.0,12.0,10.0,0.0,1.0
0,1.0,0.0,0,0.0,0,10.0,0,9.0,4.0,0,0.0,8.0,93.0,12.0,11.0,0.0,1.0
